Annual Income,Company,Model,Price ($),Body Style,Cluster
13500,8,60,26000,3,0
1480000,7,52,19000,3,1
1035000,4,57,31500,2,3
13500,27,36,14000,3,0
1465000,0,141,24500,1,1
850000,18,51,12000,1,3
1600000,27,44,14000,2,1
13500,18,70,42000,2,0
815000,5,91,82000,0,3
13500,8,59,15000,2,0
13500,0,113,31000,3,0
13500,19,108,46000,0,0
885000,17,74,9000,3,3
13500,2,3,15000,1,0
722000,6,133,26000,4,3
746000,26,65,17000,1,3
535000,10,11,18000,1,3
570000,4,57,31000,2,3
685000,27,87,33000,3,3
455000,9,12,21000,4,3
13500,27,5,25000,4,0
2500000,11,76,21000,0,2
585000,1,8,12000,0,3
920000,23,32,18000,2,3
672000,28,81,22000,2,3
801250,7,149,31250,3,3
820000,3,119,19000,2,3
791000,6,82,41000,1,3
13500,6,82,41000,1,0
1020000,25,85,13000,1,3
210000,18,1,20000,4,0
750000,16,129,14000,1,3
635000,9,12,19000,4,3
675000,9,40,43000,1,3
880000,12,121,16000,2,3
13500,29,122,42000,4,0
13500,17,98,21000,3,0
13500,3,105,61000,1,0
941000,18,97,39000,3,3
13500,19,134,16000,2,0
13500,6,133,26000,4,0
13500,29,124,21000,4,0
967500,5,89,42500,2,3
600000,18,97,45001,1,3
575000,22,19,36001,1,3
566000,16,23,12000,1,3
1250000,2,3,21001,1,1
730000,0,141,29000,1,3
4060000,19,14,20000,1,2
13500,4,50,22000,3,0
1180000,7,139,31000,1,1
1360000,1,8,27000,0,1
640000,17,46,33000,1,3
615000,5,91,14000,0,3
520000,0,113,17000,3,3
1876000,25,130,25600,2,1
13500,29,24,17000,1,0
13500,17,98,21000,3,0
890000,16,23,12000,1,3
1800000,16,128,17000,2,1
1330000,27,142,36000,0,1
393000,16,23,17000,1,3
440000,16,90,41000,1,3
280000,1,9,14000,3,0
1151000,7,79,31100,4,1
1650000,3,105,61000,1,1
13500,7,149,26000,3,0
895000,27,136,12000,2,3
660000,29,122,42000,4,3
13500,18,51,21000,1,0
1636000,4,50,22600,3,1
1000000,12,121,45000,2,3
745000,18,55,25000,3,3
300000,8,43,62000,4,0
1097000,28,81,22700,2,1
542000,18,97,45000,3,3
1200000,15,145,17000,1,1
490000,8,64,49000,0,3
410000,1,9,15000,3,3
930000,0,141,28000,1,3
480000,19,108,46000,0,3
1360000,8,99,43000,1,1
2200000,20,48,41000,4,2
1100000,5,45,45000,3,1
13500,5,77,22001,1,0
1700000,28,28,25001,4,1
1908000,7,49,12800,4,1
13500,6,2,26000,3,0
13500,2,4,18000,4,0
2550000,20,21,19000,1,2
1245000,19,92,22500,4,1
13500,7,115,21001,0,0
1115000,6,41,46500,0,1
13500,6,2,16000,3,0
2110000,29,147,39000,2,1
13500,19,111,19000,3,0
1050000,6,82,26000,1,3
13500,9,12,43000,4,0
13500,19,92,54000,4,0
320000,7,52,22000,3,0
13500,14,54,16001,3,0
760000,2,4,16001,4,3
1390000,27,87,12000,3,1
659000,16,127,38000,0,3
1330000,8,61,42000,1,1
13500,19,108,21000,1,0
13500,29,24,49000,1,0
1362000,5,109,21200,0,1
480000,17,74,71000,3,3
365000,5,29,17000,4,0
481000,26,104,57001,3,3
700000,3,105,62001,1,3
1350000,8,143,69001,3,1
750000,5,35,20001,3,3
451000,1,8,27000,0,3
650000,8,64,49000,0,3
700000,18,51,49000,1,3
13500,14,68,12000,1,0
1220000,16,90,25000,1,1
1300000,6,41,42000,1,1
470000,6,133,19000,4,3
1167500,5,95,26750,1,1
3000000,4,57,31000,2,2
1900000,25,85,49000,1,1
1690000,10,138,15000,3,1
2800000,17,131,26000,4,2
642000,16,127,17000,0,3
705000,29,24,24000,1,3
670000,5,93,19000,2,3
13500,12,121,20000,2,0
1985000,0,141,28501,1,1
1275000,2,3,15500,1,1
13500,21,150,20000,2,0
1650000,19,92,29000,4,1
520500,6,39,12500,2,3
500000,17,74,16001,3,3
1172500,14,54,27250,3,1
441000,7,79,11000,4,3
1310000,19,92,22001,4,1
13500,7,17,22000,2,0
1200000,5,45,22000,3,1
1680000,0,113,18000,3,1
1340000,9,103,27000,2,1
901000,20,80,25000,3,3
849500,0,113,26500,3,3
13500,8,143,69000,3,0
1071500,20,137,14150,4,3
1740000,24,6,28000,1,1
13500,9,40,43000,1,0
1700000,2,7,25000,3,1
1100000,20,137,12000,4,1
13500,14,84,39000,4,0
2155000,4,57,60500,2,1
13500,28,81,16000,2,0
13500,22,19,19000,1,0
661000,5,95,44000,1,3
13500,20,15,71000,2,0
13500,8,99,25000,1,0
2750000,18,51,18000,1,2
13500,8,60,22000,3,0
13500,16,90,41000,0,0
13500,8,64,49000,0,0
950000,28,81,19000,2,3
715000,2,7,21000,3,3
13500,26,65,22000,0,0
847000,21,22,16000,3,3
13500,28,18,45000,3,0
1176500,7,79,11650,4,1
955000,10,56,26000,4,3
800000,25,130,36000,2,3
13500,15,42,82000,2,0
13500,5,29,24000,4,0
626800,19,108,11800,0,3
2115000,27,112,27500,1,1
2810000,17,148,36000,2,2
13500,12,121,20000,2,0
13500,16,128,17000,2,0
1589000,28,81,16900,2,1
1385000,3,119,46500,2,1
2000000,16,23,14000,1,1
951000,27,136,16000,2,3
1390000,29,123,22000,0,1
2320000,19,14,20000,1,2
2752000,27,36,14200,3,2
655000,25,83,51000,4,3
890000,18,51,19000,1,3
1330000,14,68,31000,1,1
13500,23,32,32000,2,0
900000,7,116,31000,1,3
570000,20,137,14000,4,3
715000,1,9,25000,3,3
630000,20,48,46000,4,3
700500,16,120,39500,3,3
2130000,18,1,39000,4,1
13500,2,7,31000,3,0
2950000,5,91,41000,1,2
2150000,6,2,22000,3,1
1700000,8,99,22000,1,1
13500,7,149,41000,3,0
1540000,12,121,21000,2,1
1300000,16,128,26000,2,1
960000,16,53,31000,4,3
13500,22,72,19000,3,0
1810000,25,85,13000,1,1
1130000,25,125,33000,0,1
1090000,17,131,61000,4,3
